,goods_id,user_id,date,size,text,goods_url,goods_brand,goods_name,help_eval,style_eval,eval_list,rating,review_no,user_sex,user_height,user_weight
1935,2788236,LV.5상굴리,2022.12.16,L,"심플하면서도 예일마크와 함께 귀엽기도 합니다봄가을엔 겉옷, 겨울에는 코트랑 입기도 무난하네요",https://www.musinsa.com/app/goods/2788236/0,예일,CORDUROY COLLAR WARM UP QUILTING JACKET BLACK,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '무게감적당해요', '보온성보통이에요']",5.0,36964654,남성 , 170cm , 73kg
1936,2853386,LV.6찐ssss,2022.12.16,M,작년에 구매하고 너무 맘에 들어서 올해 하나 더 구매했어요~,https://www.musinsa.com/app/goods/2853386/0,예일,CORDUROY WARM UP+ SHORT PUFFER (PADDING) BROWN,0,1,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '무게감적당해요', '보온성보통이에요']",5.0,36963982,남성 , 167cm , 65kg
1937,2767056,LV.32tienpham,2022.12.16,S,예뻐요..맘에 들어요로고도 좋아요사이즈가 맞춰요,https://www.musinsa.com/app/goods/2767056/0,예일,HERITAGE UNIVERSITY DAN CABLE KNIT BLACK,0,1,"['사이즈보통이에요', '밝기보통이에요', '색감선명해요', '두께감두꺼워요', '촉감부드러워요']",4.0,36963732,남성 , 162cm , 55kg
1938,2713568,LV.5뉴비_f1d24023,2022.12.16,XL,건조기 돌려서 줄어들거 감안하고 주문했는데옷이 하나도 상하지 않았어요예일 옷 너무 좋아 하는데 역시네요 ,https://www.musinsa.com/app/goods/2713568/0,예일,[ONEMILE WEAR] WARM UP 2PACK SMALL ARCH LS WHITE/IVORY,0,0,"['사이즈커요', '밝기밝아요', '색감선명해요', '두께감보통이에요']",5.0,36952627,여성 , 170cm , 65kg
1939,2755493,LV.6aann,2022.12.16,XL,동생사줬는데 좀 작아보이지만 잘어울리네요 좋아요,https://www.musinsa.com/app/goods/2755493/0,예일,EMBROIDERY UNIVERSITY DAN FLEECE TRACK JACKET BLACK,1,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36963148,남성 , 183cm , 80kg
1940,2755492,LV.5zenjang,2022.12.16,XL,기모라서 따뜻하고 편하게 입을 수 있어요싸이즈도 적당합니다,https://www.musinsa.com/app/goods/2755492/0,예일,EMBROIDERY UNIVERSITY DAN FLEECE TRACK JACKET IVORY,1,0,"['사이즈커요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36963061,남성 , 183cm , 86kg
1941,2326935,LV.3뉴비_16356dae9572,2022.12.16,L(논기모),수능 끝난 선물로 해줬는데 너무 맘에 들어서 이것만 입는다네요. 그래서 다른색듀 사려구오,https://www.musinsa.com/app/goods/2326935/0,예일,(23SS) 2 TONE ARCH HOODIE GRAY,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감선명해요', '두께감보통이에요']",5.0,36962629,남성 , 173cm , 64kg
1942,2571290,LV.6nonop,2022.12.16,M,몸통38등길이35푸들좀 커요 그래도 예뻐서 맘에 들어요,https://www.musinsa.com/app/goods/2571290/0,예일,UNIVERSITY SURFING DAN DOGGY SHIRT YELLOW,1,3,[],5.0,36962401,,,
1943,2835510,LV.4뉴비_0d59490f6282,2022.12.16,M,예일꺼 처음 사봤는데 두께도 있고 따듯하고 넥 라인도 파여있어서 뭐 입고 위에 입기 좋아요,https://www.musinsa.com/app/goods/2835510/0,예일,REVERSIBLE WARM UP QUILTING JACKET BLACK / IVORY,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '무게감적당해요', '보온성보통이에요']",5.0,36962353,남성 , 173cm , 70kg
1944,2713601,LV.5ggmskc,2022.12.16,XL,접어서 말아입으면 아주 이쁘게 딱떨어집니다 사이즈 딱이에요,https://www.musinsa.com/app/goods/2713601/0,예일,2 TONE ARCH BASEBALL CREWNECK GRAY,0,0,"['사이즈보통이에요', '밝기보통이에요', '색감보통이에요', '두께감보통이에요']",5.0,36961867,남성 , 168cm , 75kg
